Data from Transmission_15-49-35-978.txt Node

Date: Mon Jun 01 15:49:35 CEST 2015
User: thomaskirchnerbackup
Spectrometer: HR+C3363
Autoset integration time: false
Trigger mode: 0
Integration Time (sec): 1.600000E-2
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Stop averaging: false
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
187.255 70.50
187.731 70.51
188.206 70.51
188.682 -0
189.158 303.75
189.634 135.85
190.109 109.35
190.585 9.89
191.061 5400
191.536 -476.47
192.012 17100
192.488 -54
192.963 46.61
193.439 -211.22
193.914 114.18
194.389 225
194.865 137.65
195.34 270
195.816 -8100
196.291 407.81
196.766 -276.92
197.242 51.43
197.717 591.43
198.192 -140.63
198.667 135
199.142 161.8
199.618 -990
200.093 139.75
200.568 2.79
201.043 -794.12
201.518 101.61
201.993 -50.4
202.468 -3.35
202.943 90
203.418 -252.34
203.893 -42.35
204.368 112.5
204.842 100.41
205.317 331.58
205.792 -203.77
206.267 -900
206.741 43.55
207.216 -488.57
207.691 69.74
208.165 33.51
208.64 276.92
209.115 135
209.589 33.51
210.064 100.49
210.538 -10800
211.013 -0
211.487 -144
211.962 0
212.436 185.05
212.91 172.6
213.385 14.33
213.859 103.85
214.333 96.43
214.808 -582.35
215.282 12600
215.756 39.01
216.23 -24.11
216.704 -380.77
217.178 40.15
217.653 264.71
218.127 11700
218.601 -93.6
219.075 81.82
219.549 -14400
220.023 308.22
220.496 22.84
220.97 -29.14
221.444 -121.35
221.918 -38.63
222.392 28.72
222.866 1800
223.339 102.27
223.813 106.21
224.287 63.22
224.76 -203.77
225.234 -1042.11
225.708 -38.79
226.181 5.92
226.655 94.41
227.128 -138.46
227.602 -43.9
228.075 -26.21
228.549 623.08
229.022 56.25
229.496 -25.23
229.969 46.61
230.442 119.58
230.916 270
231.389 26.87
231.862 -787.5
232.335 -0
232.809 431.51
233.282 -203.23
233.755 14.06
234.228 134.16
234.701 -101.12
235.174 76.34
235.647 70.39
236.12 43.71
236.593 -32.37
237.066 190.68
237.539 210.28
238.012 210.94
238.485 14.34
238.958 57.94
239.43 308.57
239.903 -55.1
240.376 168.75
240.849 321.43
241.321 360
241.794 -7.09
242.267 -110.2
242.739 30.58
243.212 -31.03
243.684 5.29
244.157 -39.13
244.629 9.57
245.102 -1136.84
245.574 -152.83
246.047 -18.48
246.519 0
246.992 27.95
247.464 -38.03
247.936 8.74
248.408 -371.74
248.881 90
249.353 2.51
249.825 72.69
250.297 157.98
250.769 340.54
251.242 -18.37
251.714 -25.1
252.186 163.64
252.658 -668.57
253.13 43.09
253.602 -105.88
254.074 29.89
254.546 78.88
255.017 22.31
255.489 43.69
255.961 27.36
256.433 23.68
256.905 -87.38
257.377 29.03
257.848 101.61
258.32 -232.26
258.792 -23.14
259.263 225
259.735 67.16
260.206 -562.5
260.678 450
261.15 -16200
261.621 104.13
262.093 -100.93
262.564 33.75
263.035 119.74
263.507 128.57
263.978 43.71
264.449 810
264.921 72.97
265.392 63
265.863 474.55
266.335 65.77
266.806 26.03
267.277 56.25
267.748 -3600
268.219 43.49
268.69 64.29
269.161 -411.43
269.632 -41.12
270.103 50.28
270.574 43.9
271.045 -373.58
271.516 -15.08
271.987 64.75
272.458 60.27
272.929 59.21
273.4 -63.38
273.87 741.18
274.341 6.92
274.812 -112.5
275.282 12.16
275.753 38.3
276.224 124.14
276.694 -578.57
277.165 -33.96
277.636 234.78
278.106 3.86
278.577 -48.65
279.047 29.61
279.517 -22.84
279.988 -87.31
280.458 11.16
280.929 -10800
281.399 -265.91
281.869 -55.9
282.34 246.58
282.81 -37.76
